age_range,female_prevalence,male_prevalence,difference,ratio,female_pct,male_pct
<5,577.0,1512.0,935.0,2.62,0.58,1.51
5-9,537.0,1437.0,900.0,2.67,0.54,1.44
10-14,499.0,1371.0,872.0,2.75,0.5,1.37
15-19,465.0,1313.0,848.0,2.82,0.46,1.31
20-24,436.0,1264.0,829.0,2.9,0.44,1.26
25-29,412.0,1226.0,814.0,2.98,0.41,1.23
30-34,394.0,1199.0,806.0,3.05,0.39,1.2
35-39,380.0,1179.0,799.0,3.1,0.38,1.18
40-44,368.0,1153.0,785.0,3.14,0.37,1.15
45-49,354.0,1118.0,764.0,3.16,0.35,1.12
50-54,337.0,1073.0,736.0,3.18,0.34,1.07
55-59,314.0,1011.0,697.0,3.22,0.31,1.01
60-64,283.0,931.0,648.0,3.29,0.28,0.93
65-69,243.0,826.0,583.0,3.4,0.24,0.83
70+,143.0,568.0,425.0,3.98,0.14,0.57
