year,female_prevalence,male_prevalence,difference,ratio,female_pct,male_pct
1990,337.0,1063.0,726.0,3.15,0.34,1.06
1991,339.0,1065.0,726.0,3.14,0.34,1.06
1992,340.0,1067.0,727.0,3.14,0.34,1.07
1993,342.0,1069.0,728.0,3.13,0.34,1.07
1994,343.0,1072.0,729.0,3.12,0.34,1.07
1995,345.0,1075.0,730.0,3.11,0.35,1.07
1996,347.0,1078.0,731.0,3.11,0.35,1.08
1997,349.0,1082.0,733.0,3.1,0.35,1.08
1998,352.0,1087.0,735.0,3.09,0.35,1.09
1999,355.0,1092.0,737.0,3.08,0.35,1.09
2000,357.0,1097.0,740.0,3.07,0.36,1.1
2001,360.0,1102.0,742.0,3.06,0.36,1.1
2002,363.0,1108.0,745.0,3.05,0.36,1.11
2003,366.0,1114.0,747.0,3.04,0.37,1.11
2004,370.0,1120.0,751.0,3.03,0.37,1.12
2005,373.0,1126.0,753.0,3.02,0.37,1.13
2006,376.0,1132.0,756.0,3.01,0.38,1.13
2007,380.0,1139.0,760.0,3.0,0.38,1.14
2008,383.0,1146.0,763.0,2.99,0.38,1.15
2009,387.0,1154.0,767.0,2.98,0.39,1.15
2010,391.0,1161.0,770.0,2.97,0.39,1.16
2011,395.0,1168.0,773.0,2.96,0.39,1.17
2012,399.0,1175.0,777.0,2.95,0.4,1.18
2013,403.0,1183.0,780.0,2.94,0.4,1.18
2014,407.0,1191.0,784.0,2.93,0.41,1.19
2015,411.0,1198.0,788.0,2.92,0.41,1.2
2016,415.0,1206.0,791.0,2.91,0.41,1.21
2017,419.0,1214.0,795.0,2.9,0.42,1.21
2018,424.0,1223.0,799.0,2.89,0.42,1.22
2019,428.0,1231.0,803.0,2.88,0.43,1.23
2020,432.0,1239.0,807.0,2.87,0.43,1.24
2021,437.0,1247.0,810.0,2.86,0.44,1.25
2022,441.0,1255.0,814.0,2.85,0.44,1.26
2023,446.0,1263.0,818.0,2.84,0.45,1.26
